source,base,quote,instrument,url,at,raw_file,mid,spread_bps,levels,bid_1pct_usd,ask_1pct_usd,min_1pct_usd,complete_1pct,bid_2pct_usd,ask_2pct_usd,min_2pct_usd,complete_2pct,assessment,error,contract_base_units
KRAKEN,LINK,USD,LINK/USD spot,https://api.kraken.com/0/public/Depth?pair=LINKUSD&count=500,2026-09-18T09:58:51.180355+00:00,book-KRAKEN-LINK-USD.json,11.86847,3.016395542137674,"[500, 500]",932761.61535632,708163.33734093,708163.33734093,True,976888.2797043,878044.15247314,878044.15247314,True,Deeper,,
KRAKEN,MORPHO,USD,MORPHO/USD spot,https://api.kraken.com/0/public/Depth?pair=MORPHOUSD&count=500,2026-09-18T09:58:53.193527+00:00,book-KRAKEN-MORPHO-USD.json,2.349425,24.64432786745771,"[226, 251]",53360.25546295,41118.43668513,41118.43668513,True,71154.81841698001,64469.0420344,64469.0420344,True,Thin,,
KRAKEN,PAXG,USD,PAXG/USD spot,https://api.kraken.com/0/public/Depth?pair=PAXGUSD&count=500,2026-09-18T09:58:50.649416+00:00,book-KRAKEN-PAXG-USD.json,4370.0650000000005,0.022882954828609605,"[500, 500]",1153922.11945,1166713.73375,1153922.11945,True,1223008.0717,1341200.6316499999,1223008.0717,True,Deeper,,
KRAKEN,UNI,USD,UNI/USD spot,https://api.kraken.com/0/public/Depth?pair=UNIUSD&count=500,2026-09-18T09:58:52.441572+00:00,book-KRAKEN-UNI-USD.json,9.06455,7.832710945385529,"[500, 500]",1015047.2334033,477717.4346234,477717.4346234,True,1464234.5038276,1082548.7248919,1082548.7248919,True,Deeper,,
KRAKEN,USDC,USD,USDC/USD spot,https://api.kraken.com/0/public/Depth?pair=USDCUSD&count=500,2026-09-18T09:58:45.173587+00:00,book-KRAKEN-USDC-USD.json,0.99985,1.0001500225032653,"[160, 151]",11552299.4476345,10853327.9440592,10853327.9440592,True,11694152.9546377,11303533.8568874,11303533.8568874,True,Deeper,,
KRAKEN,USDT,USD,USDT/USD spot,https://api.kraken.com/0/public/Depth?pair=USDTUSD&count=500,2026-09-18T09:58:42.559984+00:00,book-KRAKEN-USDT-USD.json,0.999085,0.10009158379983198,"[249, 277]",6262598.92341657,13749772.918817349,6262598.92341657,True,6755454.80194501,15358299.35970329,6755454.80194501,True,Deeper,,
KRAKEN,XAUT,USD,XAUT/USD spot,https://api.kraken.com/0/public/Depth?pair=XAUTUSD&count=500,2026-09-18T09:58:51.389456+00:00,book-KRAKEN-XAUT-USD.json,4372.55,1.1434975014579594,"[184, 143]",422314.98990000004,404475.7145,404475.7145,True,429672.0648,448252.1357,429672.0648,True,Deeper,,
KRAKEN,XMR,USD,XMR/USD spot,https://api.kraken.com/0/public/Depth?pair=XMRUSD&count=500,2026-09-18T09:58:50.734744+00:00,book-KRAKEN-XMR-USD.json,540.685,16.830502048327,"[500, 500]",285139.04017,469169.28633,285139.04017,True,425395.58204,1148718.37573,425395.58204,True,Deeper,,
KRAKEN,ZEC,USD,ZEC/USD spot,https://api.kraken.com/0/public/Depth?pair=ZECUSD&count=500,2026-09-18T09:58:48.760623+00:00,book-KRAKEN-ZEC-USD.json,1479.645,4.1226104910308035,"[500, 500]",2368084.3646,1300186.26361,1300186.26361,True,4874991.73016,1637287.79993,1637287.79993,True,Deeper,,
KUCOIN,BTC,EUR,BTC/EUR spot,https://api.kucoin.com/api/v1/market/orderbook/level2_100?symbol=BTC-EUR,2026-09-18T10:07:03.410328+00:00,book-KUCOIN-BTC-EUR.json,68139.88,18.083389639077904,"[100, 100]",43450.75046853048,36589.64874042199,36589.64874042199,True,61085.609379418915,63871.3336296169,61085.609379418915,True,Thin,,
